,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year,Performance
219,Dango Ouattara,Midfielder,Bournemouth,12,1214,5,24,0,3,87.8,0,2,0,56,0,0,1,6.0,2024,3.0
220,Dango Ouattara,Midfielder,Bournemouth,15,1239,1,23,0,4,82.5,0,3,0,49,0,0,1,6.0,2023,-8.0
221,Ederson Santana de Moraes,Goalkeeper,Man City,26,2320,10,26,0,9,60.9,54,4,0,111,0,0,0,5.5,2025,108.0
222,Ederson Santana de Moraes,Goalkeeper,Man City,33,2785,11,27,0,5,56.0,57,0,0,112,0,0,0,5.5,2024,102.0
223,Ederson Santana de Moraes,Goalkeeper,Man City,35,3150,11,32,0,8,52.1,46,1,0,121,0,0,0,5.5,2023,95.0
224,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,29,2667,10,36,223,13,193.6,0,4,0,110,0,0,4,6.5,2025,77.0
225,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,29,2576,10,26,0,20,228.0,0,9,0,141,0,0,6,6.5,2024,105.0
226,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,24,2196,7,24,0,9,143.1,0,6,0,106,0,0,4,6.5,2023,51.0
227,Levi Samuels Colwill,Defender,Chelsea,35,3150,10,41,221,6,109.4,0,1,0,109,0,0,2,5.0,2025,45.0
228,Levi Samuels Colwill,Defender,Chelsea,20,1794,5,26,0,4,67.2,0,1,0,65,0,0,1,5.0,2024,7.0
229,Levi Samuels Colwill,Defender,Chelsea,13,1218,3,21,0,6,38.9,0,2,0,46,0,0,0,5.0,2023,7.0
230,Mateo Kovačić,Midfielder,Man City,25,2194,10,29,228,13,139.1,0,3,0,109,1,0,6,6.0,2025,82.0
231,Mateo Kovačić,Midfielder,Man City,16,1539,9,14,0,2,76.0,0,0,0,59,0,0,1,6.0,2024,37.0
232,Mateo Kovačić,Midfielder,Man City,17,1699,4,25,0,2,77.9,0,2,0,53,0,0,1,6.0,2023,-2.0
233,Neco Williams,Defender,Nott'm Forest,28,2588,10,31,251,8,118.0,0,3,0,109,0,0,1,5.0,2025,69.0
234,Neco Williams,Defender,Nott'm Forest,18,1630,1,33,0,2,72.8,0,1,0,39,0,0,0,5.0,2024,-34.0
