,role,name,club,season,points,games-started,minutes-played,goals-scored,assists,clean-sheets,goals-conceded,defensive-contribution,own-goals,penalties-saved,saves,bonus,red-cards,ict-index,current-price
655,Midfielder,Fábio Freitas Gouveia Carvalho,Brentford,2020/21,12,0,254,1,0,0,6,0,0,0,0,0,0,26.5,£5.0m
656,Goalkeeper,Stefan Ortega Moreno,Man City,2024/25,35,12,1099,0,0,3,18,0,0,0,33,0,0,29.4,£5.0m
657,Goalkeeper,Stefan Ortega Moreno,Man City,2023/24,22,5,632,0,0,1,7,0,0,0,20,2,0,17.3,£5.0m
658,Goalkeeper,Stefan Ortega Moreno,Man City,2022/23,23,3,270,0,0,2,1,0,0,0,14,5,0,11.7,£5.0m
659,Forward,Richarlison de Andrade,Spurs,2024/25,35,4,497,4,1,1,9,25,0,0,0,0,0,47.4,£6.5m
660,Forward,Richarlison de Andrade,Spurs,2023/24,122,18,1481,11,4,7,18,0,0,0,0,7,0,152.1,£6.5m
661,Forward,Richarlison de Andrade,Spurs,2022/23,54,12,995,1,5,3,18,0,0,0,0,2,0,86.3,£6.5m
662,Defender,Álex Moreno Lopera,Aston Villa,2024/25,34,11,952,0,1,3,16,83,0,0,0,1,0,36.4,£4.0m
663,Defender,Álex Moreno Lopera,Aston Villa,2023/24,49,11,1024,2,0,3,20,0,1,0,0,5,0,52.7,£4.0m
664,Defender,Álex Moreno Lopera,Aston Villa,2022/23,72,14,1325,0,3,7,10,0,0,0,0,5,0,72.3,£4.0m
665,Midfielder,Donyell Malen,Aston Villa,2024/25,34,2,296,3,0,0,6,17,0,0,0,3,0,38.5,£5.5m
666,Midfielder,Justin Devenny,Crystal Palace,2024/25,34,4,494,1,1,0,8,56,0,0,0,1,0,33.2,£4.5m
667,Midfielder,Sean Longstaff,Leeds,2024/25,34,8,783,0,1,2,11,78,0,0,0,0,0,27.3,£5.0m
668,Midfielder,Sean Longstaff,Leeds,2023/24,110,30,2742,6,3,10,50,0,0,0,0,3,0,138.8,£5.0m
669,Midfielder,Sean Longstaff,Leeds,2022/23,93,28,2514,1,5,13,18,0,0,0,0,2,0,116.8,£5.0m
670,Midfielder,Wilson Odobert,Spurs,2024/25,34,9,843,1,0,1,20,57,0,0,0,3,0,36.7,£5.5m
671,Midfielder,Wilson Odobert,Spurs,2023/24,82,25,2095,3,4,2,48,0,0,0,0,3,0,121.1,£5.5m
672,Midfielder,Tom Cairney,Fulham,2024/25,33,3,610,2,0,1,12,73,0,0,0,0,1,47.2,£5.0m
673,Midfielder,Tom Cairney,Fulham,2023/24,70,14,1472,1,6,4,27,0,1,0,0,2,0,90.9,£5.0m
674,Midfielder,Tom Cairney,Fulham,2022/23,53,6,968,2,1,1,13,0,0,0,0,2,0,64.2,£5.0m
675,Midfielder,Harvey Elliott,Liverpool,2024/25,33,2,359,1,2,0,6,26,0,0,0,3,0,40.4,£5.5m
676,Midfielder,Harvey Elliott,Liverpool,2023/24,96,11,1330,3,9,4,13,0,0,0,0,8,0,137.5,£5.5m
677,Midfielder,Harvey Elliott,Liverpool,2022/23,62,18,1600,1,2,5,20,0,0,0,0,2,0,105.5,£5.5m
678,Midfielder,Crysencio Summerville,West Ham,2024/25,33,7,776,1,1,2,20,61,0,0,0,2,0,58.7,£5.5m
679,Midfielder,Crysencio Summerville,West Ham,2022/23,74,12,1411,4,4,1,38,0,0,0,0,4,0,88.6,£5.5m
680,Midfielder,Crysencio Summerville,West Ham,2021/22,6,0,126,0,0,0,1,0,0,0,0,0,0,8.6,£5.5m
681,Forward,Enes Ünal,Bournemouth,2024/25,32,2,330,2,1,2,3,23,0,0,0,4,0,35.9,£5.5m
682,Forward,Enes Ünal,Bournemouth,2023/24,40,2,317,2,4,1,9,0,0,0,0,3,0,43.7,£5.5m
683,Forward,Taiwo Awoniyi,Nott'm Forest,2024/25,32,3,398,1,0,1,10,31,0,0,0,0,0,21.9,£5.5m
684,Forward,Taiwo Awoniyi,Nott'm Forest,2023/24,67,12,1036,6,3,3,21,0,0,0,0,5,0,74.2,£5.5m
685,Forward,Taiwo Awoniyi,Nott'm Forest,2022/23,100,17,1395,10,1,5,29,0,0,0,0,16,0,95.6,£5.5m
686,Defender,Micky van de Ven,Spurs,2024/25,32,12,1014,0,2,2,17,66,0,0,0,2,0,30.9,£4.5m
687,Defender,Micky van de Ven,Spurs,2023/24,81,27,2341,3,0,5,38,0,0,0,0,10,0,70.5,£4.5m
688,Defender,Marcos Senesi Barón,Bournemouth,2024/25,31,13,1103,0,0,2,17,118,0,0,0,3,0,39.6,£4.5m
689,Defender,Marcos Senesi Barón,Bournemouth,2023/24,102,26,2239,4,5,6,44,0,0,0,0,13,0,119.7,£4.5m
690,Defender,Marcos Senesi Barón,Bournemouth,2022/23,69,29,2489,2,0,5,55,0,0,0,0,5,0,79.6,£4.5m
691,Defender,Issa Diop,Fulham,2024/25,31,15,1334,0,0,1,19,112,1,0,0,0,0,38.3,£4.5m
692,Defender,Issa Diop,Fulham,2023/24,43,16,1423,0,0,5,26,0,0,0,0,3,1,40.8,£4.5m
